symbol,company_name,asset_type,primary_exchange,listing_exchange,currency,country,sector,industry,is_etf,is_adr,is_otc,is_test_issue,financial_status,listing_status,CIK,ibkr_conid,data_source,last_updated_at,blocked_reason,enabled
A,"Agilent Technologies, Inc. Common Stock",STK,NYSE,NYSE,USD,US,,,False,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AA,Alcoa Corporation Common Stock,STK,NYSE,NYSE,USD,US,,,False,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AAA,Alternative Access First Priority CLO Bond ETF,ETF,NYSE_ARCA,NYSE_ARCA,USD,US,,,True,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AAAA,Amplius Aggressive Asset Allocation ETF,ETF,BATS,BATS,USD,US,,,True,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AAAC,Columbia AAA CLO ETF,ETF,NYSE_ARCA,NYSE_ARCA,USD,US,,,True,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AAAD,PGIM AAA CLO Aggregate Duration ETF,ETF,NYSE_ARCA,NYSE_ARCA,USD,US,,,True,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AAAP,Pacer Barings CLO Market Flex ETF,ETF,NASDAQ,NASDAQ,USD,US,,,True,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AAAU,Goldman Sachs Physical Gold ETF Shares,ETF,BATS,BATS,USD,US,,,True,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AAC.U,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",STK,NYSE,NYSE,USD,US,,,False,False,False,False,,active,,,nasdaqtrader:otherlisted,2026-07-11T16:23:13.528303+00:00,,True
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,D,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACBR,Artius II Acquisition Inc. - Rights,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACBU,Artius II Acquisition Inc. - Units,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACIU,Armada Acquisition Corp. III - Units,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACIW,Armada Acquisition Corp. III - Warrant,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACOU,Abony Acquisition Corp. I - Units,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACOW,Abony Acquisition Corp. I - Warrants,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACPR,Apogee Acquisition Corp - Rights,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACPU,Apogee Acquisition Corp - Units,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
AACPW,Apogee Acquisition Corp - Warrant,STK,NASDAQ,NASDAQ,USD,US,,,False,False,False,False,N,active,,,nasdaqtrader:nasdaqlisted,2026-07-11T16:23:13.528303+00:00,,True
